text,label
"Government confirms new health policy after parliamentary approval",REAL
"Scientists discover a new method to improve solar panel efficiency",REAL
"Central bank announces changes in interest rate policy",REAL
"Education ministry launches digital learning platform for students",REAL
"Local authorities issue weather warning after heavy rainfall",REAL
"NASA releases new images from its latest space mission",REAL
"Election commission publishes official voting schedule",REAL
"Researchers publish peer reviewed study on climate change impact",REAL
"Public hospital opens new emergency care facility",REAL
"Supreme court delivers verdict in major constitutional case",REAL
"Aliens secretly control the world government according to viral message",FAKE
"Drinking hot water every hour completely cures all diseases",FAKE
"Famous actor gives away money to everyone who shares this post",FAKE
"Government bans all internet services permanently from tomorrow",FAKE
"Scientists confirm humans can live without oxygen after new discovery",FAKE
"Secret medicine hidden by doctors cures cancer in one day",FAKE
"Election results changed by invisible satellite technology",FAKE
"Mobile phones will explode tonight due to cosmic radiation",FAKE
"Bank accounts will be deleted unless citizens forward this message",FAKE
"Viral post claims moon will disappear permanently next week",FAKE